size,impl,delay,interval,rep,interrupted,latency,checks
131072,simple,0.001,0.0,0,True,0.0006170780000000001,2
131072,simple,0.001,0.0,1,True,0.0005632180000000001,2
131072,simple,0.001,0.0,2,True,0.00022792699999999995,2
131072,simple,0.001,0.0,3,True,2.6340000000000564e-06,485
131072,simple,0.001,0.0,4,True,2.364000000000142e-06,813
131072,simple,0.001,0.0,5,True,2.3539999999999846e-06,731
131072,simple,0.001,0.0,6,True,2.2629999999999612e-06,715
131072,simple,0.001,0.0,7,True,2.313000000000098e-06,737
131072,simple,0.001,0.0,8,True,2.3539999999999846e-06,725
131072,simple,0.001,0.0,9,True,2.534e-06,614
131072,simple,0.001,0.0,10,True,2.2839999999999666e-06,665
131072,simple,0.001,0.0,11,True,2.3930000000000565e-06,748
131072,simple,0.001,0.0,12,True,2.1830000000000026e-06,732
131072,simple,0.001,0.0,13,True,2.5439999999999404e-06,751
131072,simple,0.001,0.0,14,True,2.2830000000000593e-06,734
131072,simple,0.001,0.0,15,True,2.3740000000000826e-06,784
131072,simple,0.001,0.0,16,True,2.344000000000044e-06,748
131072,simple,0.001,0.0,17,True,2.2439999999999873e-06,734
131072,simple,0.001,0.0,18,True,2.2330000000001394e-06,737
131072,simple,0.001,0.0,19,True,2.332999999999979e-06,803
131072,simple,0.001,0.0,20,True,2.294000000000124e-06,737
131072,simple,0.001,0.0,21,True,2.1830000000000026e-06,768
131072,simple,0.001,0.0,22,True,2.393999999999964e-06,808
131072,simple,0.001,0.0,23,True,2.3340000000001034e-06,737
131072,simple,0.001,0.0,24,True,2.364000000000142e-06,818
131072,simple,0.001,0.0,25,True,2.3340000000001034e-06,810
131072,simple,0.001,0.0,26,True,2.4540000000000412e-06,773
131072,simple,0.001,0.0,27,True,2.013000000000145e-06,739
131072,simple,0.001,0.0,28,True,2.4740000000001393e-06,628
131072,simple,0.001,0.0,29,True,2.1630000000001214e-06,682
131072,simple,0.001,0.0,30,True,2.2330000000001394e-06,799
131072,simple,0.001,0.0,31,True,2.453000000000134e-06,743
131072,simple,0.001,0.0,32,True,2.3539999999999846e-06,756
131072,simple,0.001,0.0,33,True,2.4129999999999378e-06,729
131072,simple,0.001,0.0,34,True,2.3539999999999846e-06,742
131072,simple,0.001,0.0,35,True,2.222999999999982e-06,747
131072,simple,0.001,0.0,36,True,2.3140000000000053e-06,768
131072,simple,0.001,0.0,37,True,2.0730000000000054e-06,757
131072,simple,0.001,0.0,38,True,2.293e-06,802
131072,simple,0.001,0.0,39,True,2.3740000000000826e-06,752
131072,fine,0.001,0.001,0,True,2.2139999999999486e-06,2
131072,fine,0.001,0.001,1,True,2.5439999999999404e-06,2
131072,fine,0.001,0.001,2,True,5.079000000000064e-06,2
131072,fine,0.001,0.001,3,True,6.001000000000053e-06,2
131072,fine,0.001,0.001,4,True,2.3840000000000233e-06,2
131072,fine,0.001,0.001,5,True,2.7040000000000744e-06,2
131072,fine,0.001,0.001,6,True,2.414000000000062e-06,2
131072,fine,0.001,0.001,7,True,2.6040000000000178e-06,2
131072,fine,0.001,0.001,8,True,2.3539999999999846e-06,2
131072,fine,0.001,0.001,9,True,2.4829999999999557e-06,2
131072,fine,0.001,0.001,10,True,2.364000000000142e-06,2
131072,fine,0.001,0.001,11,True,4.969000000000067e-06,2
131072,fine,0.001,0.001,12,True,2.4240000000000025e-06,2
131072,fine,0.001,0.001,13,True,2.9150000000000356e-06,2
131072,fine,0.001,0.001,14,True,2.4240000000000025e-06,2
131072,fine,0.001,0.001,15,True,2.524000000000059e-06,2
131072,fine,0.001,0.001,16,True,2.655000000000062e-06,2
131072,fine,0.001,0.001,17,True,2.364000000000142e-06,2
131072,fine,0.001,0.001,18,True,2.414000000000062e-06,2
131072,fine,0.001,0.001,19,True,2.433000000000036e-06,2
131072,fine,0.001,0.001,20,True,2.4540000000000412e-06,2
131072,fine,0.001,0.001,21,True,3.2850000000000067e-06,2
131072,fine,0.001,0.001,22,True,2.313000000000098e-06,2
131072,fine,0.001,0.001,23,True,2.433000000000036e-06,2
131072,fine,0.001,0.001,24,True,2.5640000000000385e-06,2
131072,fine,0.001,0.001,25,True,2.4440000000001006e-06,2
131072,fine,0.001,0.001,26,True,3.0550000000000715e-06,2
131072,fine,0.001,0.001,27,True,2.2439999999999873e-06,2
131072,fine,0.001,0.001,28,True,2.393999999999964e-06,2
131072,fine,0.001,0.001,29,True,2.364000000000142e-06,2
131072,fine,0.001,0.001,30,True,2.4940000000000205e-06,2
131072,fine,0.001,0.001,31,True,2.364000000000142e-06,2
131072,fine,0.001,0.001,32,True,2.4429999999999764e-06,2
131072,fine,0.001,0.001,33,True,2.6040000000000178e-06,2
131072,fine,0.001,0.001,34,True,2.4429999999999764e-06,2
131072,fine,0.001,0.001,35,True,2.3539999999999846e-06,2
131072,fine,0.001,0.001,36,True,2.674999999999943e-06,2
131072,fine,0.001,0.001,37,True,4.1570000000000756e-06,2
131072,fine,0.001,0.001,38,True,2.4540000000000412e-06,2
131072,fine,0.001,0.001,39,True,2.8050000000000384e-06,2
131072,fine,0.001,0.0025,0,True,0.0015010000000000002,2
131072,fine,0.001,0.0025,1,True,0.001500889,2
131072,fine,0.001,0.0025,2,True,0.0015009000000000003,2
131072,fine,0.001,0.0025,3,True,0.00150109,2
131072,fine,0.001,0.0025,4,True,0.0015008500000000002,2
131072,fine,0.001,0.0025,5,True,0.00150124,2
131072,fine,0.001,0.0025,6,True,0.00150087,2
131072,fine,0.001,0.0025,7,True,0.00150088,2
131072,fine,0.001,0.0025,8,True,0.0015008600000000001,2
131072,fine,0.001,0.0025,9,True,0.0015044960000000001,2
131072,fine,0.001,0.0025,10,True,0.0015008490000000003,2
131072,fine,0.001,0.0025,11,True,0.0015009390000000002,2
131072,fine,0.001,0.0025,12,True,0.0015008590000000002,2
131072,fine,0.001,0.0025,13,True,0.0015008390000000003,2
131072,fine,0.001,0.0025,14,True,0.0015008400000000002,2
131072,fine,0.001,0.0025,15,True,0.0015009700000000003,2
131072,fine,0.001,0.0025,16,True,0.0015008390000000003,2
131072,fine,0.001,0.0025,17,True,0.001500889,2
131072,fine,0.001,0.0025,18,True,0.0015009200000000002,2
131072,fine,0.001,0.0025,19,True,0.0015008390000000003,2
131072,fine,0.001,0.0025,20,True,0.00150082,2
131072,fine,0.001,0.0025,21,True,0.0015008390000000003,2
131072,fine,0.001,0.0025,22,True,0.001500819,2
131072,fine,0.001,0.0025,23,True,0.001500819,2
131072,fine,0.001,0.0025,24,True,0.00150088,2
131072,fine,0.001,0.0025,25,True,0.0015008390000000003,2
131072,fine,0.001,0.0025,26,True,0.001500879,2
131072,fine,0.001,0.0025,27,True,0.0015009390000000002,2
131072,fine,0.001,0.0025,28,True,0.0015016210000000003,2
131072,fine,0.001,0.0025,29,True,0.0015008500000000002,2
131072,fine,0.001,0.0025,30,True,0.0015008390000000003,2
131072,fine,0.001,0.0025,31,True,0.0015008300000000003,2
131072,fine,0.001,0.0025,32,True,0.001500879,2
131072,fine,0.001,0.0025,33,True,0.001500829,2
131072,fine,0.001,0.0025,34,True,0.001500879,2
131072,fine,0.001,0.0025,35,True,0.0015008600000000001,2
131072,fine,0.001,0.0025,36,True,0.001500819,2
131072,fine,0.001,0.0025,37,True,0.00150096,2
131072,fine,0.001,0.0025,38,True,0.001501521,2
131072,fine,0.001,0.0025,39,True,0.001500809,2
131072,fine,0.001,0.005,0,True,0.004000908,2
131072,fine,0.001,0.005,1,True,0.004000968000000001,2
131072,fine,0.001,0.005,2,True,0.004000938,2
131072,fine,0.001,0.005,3,True,0.0040009270000000005,2
131072,fine,0.001,0.005,4,True,0.004001087,2
131072,fine,0.001,0.005,5,True,0.004000877,2
131072,fine,0.001,0.005,6,True,0.004000807,2
131072,fine,0.001,0.005,7,True,0.004000827,2
131072,fine,0.001,0.005,8,True,0.004001579,2
131072,fine,0.001,0.005,9,True,0.004001188,2
131072,fine,0.001,0.005,10,True,0.004000938,2
131072,fine,0.001,0.005,11,True,0.004000977,2
131072,fine,0.001,0.005,12,True,0.004000928,2
131072,fine,0.001,0.005,13,True,0.004005566,2
131072,fine,0.001,0.005,14,True,0.004000897000000001,2
131072,fine,0.001,0.005,15,True,0.004000938,2
131072,fine,0.001,0.005,16,True,0.004003131,2
131072,fine,0.001,0.005,17,True,0.004000857,2
131072,fine,0.001,0.005,18,True,0.004000938,2
131072,fine,0.001,0.005,19,True,0.004000867,2
131072,fine,0.001,0.005,20,True,0.004000837,2
131072,fine,0.001,0.005,21,True,0.004000887000000001,2
131072,fine,0.001,0.005,22,True,0.004000847,2
131072,fine,0.001,0.005,23,True,0.004000797,2
131072,fine,0.001,0.005,24,True,0.004000977,2
131072,fine,0.001,0.005,25,True,0.004000877,2
131072,fine,0.001,0.005,26,True,0.004000908,2
131072,fine,0.001,0.005,27,True,0.004000907000000001,2
131072,fine,0.001,0.005,28,True,0.004001248000000001,2
131072,fine,0.001,0.005,29,True,0.0040016190000000005,2
131072,fine,0.001,0.005,30,True,0.004000947,2
131072,fine,0.001,0.005,31,True,0.0040009170000000005,2
131072,fine,0.001,0.005,32,True,0.004001298,2
131072,fine,0.001,0.005,33,True,0.004001048,2
131072,fine,0.001,0.005,34,True,0.004001017,2
131072,fine,0.001,0.005,35,True,0.004000887000000001,2
131072,fine,0.001,0.005,36,True,0.004000918,2
131072,fine,0.001,0.005,37,True,0.004000847,2
131072,fine,0.001,0.005,38,True,0.004000867,2
131072,fine,0.001,0.005,39,True,0.004000887000000001,2
131072,fine,0.001,0.0075,0,True,0.006115791000000001,1
131072,fine,0.001,0.0075,1,True,0.006086857,1
131072,fine,0.001,0.0075,2,True,0.0060751550000000005,1
131072,fine,0.001,0.0075,3,True,0.006156878,1
131072,fine,0.001,0.0075,4,True,0.006050819000000001,1
131072,fine,0.001,0.0075,5,True,0.006071588,1
131072,fine,0.001,0.0075,6,True,0.006028478,1
131072,fine,0.001,0.0075,7,True,0.006060678000000001,1
131072,fine,0.001,0.0075,8,True,0.006098709000000001,1
131072,fine,0.001,0.0075,9,True,0.006034179000000001,1
131072,fine,0.001,0.0075,10,True,0.006097657,1
131072,fine,0.001,0.0075,11,True,0.006037485,1
131072,fine,0.001,0.0075,12,True,0.006060918,1
131072,fine,0.001,0.0075,13,True,0.006075867,1
131072,fine,0.001,0.0075,14,True,0.006084983,1
131072,fine,0.001,0.0075,15,True,0.006077900000000001,1
131072,fine,0.001,0.0075,16,True,0.00604047,1
131072,fine,0.001,0.0075,17,True,0.006023518,1
131072,fine,0.001,0.0075,18,True,0.006064024,1
131072,fine,0.001,0.0075,19,True,0.006032776,1
131072,fine,0.001,0.0075,20,True,0.006064285,1
131072,fine,0.001,0.0075,21,True,0.006059406000000001,1
131072,fine,0.001,0.0075,22,True,0.006023748000000001,1
131072,fine,0.001,0.0075,23,True,0.006065317000000001,1
131072,fine,0.001,0.0075,24,True,0.006037194,1
131072,fine,0.001,0.0075,25,True,0.006064044,1
131072,fine,0.001,0.0075,26,True,0.0060733620000000006,1
131072,fine,0.001,0.0075,27,True,0.006057422000000001,1
131072,fine,0.001,0.0075,28,True,0.0060652860000000005,1
131072,fine,0.001,0.0075,29,True,0.006036462,1
131072,fine,0.001,0.0075,30,True,0.0060571010000000005,1
131072,fine,0.001,0.0075,31,True,0.006079143,1
131072,fine,0.001,0.0075,32,True,0.006079053,1
131072,fine,0.001,0.0075,33,True,0.006075596000000001,1
131072,fine,0.001,0.0075,34,True,0.006041111,1
131072,fine,0.001,0.0075,35,True,0.006030260000000001,1
131072,fine,0.001,0.0075,36,True,0.0060531940000000005,1
131072,fine,0.001,0.0075,37,True,0.006030181000000001,1
131072,fine,0.001,0.0075,38,True,0.006066017000000001,1
131072,fine,0.001,0.0075,39,True,0.006034309000000001,1
131072,fine,0.001,0.01,0,True,0.006060648,1
131072,fine,0.001,0.01,1,True,0.006068292,1
131072,fine,0.001,0.01,2,True,0.006044488000000001,1
131072,fine,0.001,0.01,3,True,0.006078893,1
131072,fine,0.001,0.01,4,True,0.006074113000000001,1
131072,fine,0.001,0.01,5,True,0.006057713,1
131072,fine,0.001,0.01,6,True,0.006064555,1
131072,fine,0.001,0.01,7,True,0.006052742000000001,1
