size,impl,delay,interval,rep,interrupted,latency,checks
2097152,coarse,0.005,0.001,0,True,0.012030283999999999,2
2097152,coarse,0.005,0.001,1,True,0.011718036000000001,2
2097152,coarse,0.005,0.001,2,True,0.009990000000000002,2
2097152,coarse,0.005,0.001,3,True,0.009808440000000002,2
2097152,coarse,0.005,0.001,4,True,0.010031729,2
2097152,coarse,0.005,0.001,5,True,0.009745,2
2097152,coarse,0.005,0.001,6,True,0.00995745,2
2097152,coarse,0.005,0.001,7,True,0.009751211,2
2097152,coarse,0.005,0.001,8,True,0.009746222000000002,2
2097152,coarse,0.005,0.001,9,True,0.009790866000000002,2
2097152,coarse,0.005,0.001,10,True,0.009921982,2
2097152,coarse,0.005,0.001,11,True,0.00979294,2
2097152,coarse,0.005,0.001,12,True,0.009742285,2
2097152,coarse,0.005,0.001,13,True,0.009758806000000002,2
2097152,coarse,0.005,0.001,14,True,0.009756101,2
2097152,coarse,0.005,0.001,15,True,0.009810283,2
2097152,coarse,0.005,0.001,16,True,0.009792990000000001,2
2097152,coarse,0.005,0.001,17,True,0.009766170000000001,2
2097152,coarse,0.005,0.001,18,True,0.009777431,2
2097152,coarse,0.005,0.001,19,True,0.009760710000000002,2
2097152,coarse,0.005,0.001,20,True,0.009748106,2
2097152,coarse,0.005,0.001,21,True,0.009771160000000001,2
2097152,coarse,0.005,0.001,22,True,0.009762673,2
2097152,coarse,0.005,0.001,23,True,0.009825291,2
2097152,coarse,0.005,0.001,24,True,0.009776900000000002,2
2097152,coarse,0.005,0.001,25,True,0.009786218,2
2097152,coarse,0.005,0.001,26,True,0.009822245,2
2097152,coarse,0.005,0.001,27,True,0.009807778,2
2097152,coarse,0.005,0.001,28,True,0.009771921,2
2097152,coarse,0.005,0.001,29,True,0.009776800000000002,2
2097152,coarse,0.005,0.001,30,True,0.009798781,2
2097152,coarse,0.005,0.001,31,True,0.009807618,2
2097152,coarse,0.005,0.001,32,True,0.009775627000000002,2
2097152,coarse,0.005,0.001,33,True,0.009770408000000001,2
2097152,coarse,0.005,0.001,34,True,0.009740722,2
2097152,coarse,0.005,0.001,35,True,0.009736845000000001,2
2097152,coarse,0.005,0.001,36,True,0.009850819,2
2097152,coarse,0.005,0.001,37,True,0.009851349000000002,2
2097152,coarse,0.005,0.001,38,True,0.009820452,2
2097152,coarse,0.005,0.001,39,True,0.009838305000000002,2
2097152,coarse,0.005,0.005,0,True,0.009785496000000001,2
2097152,coarse,0.005,0.005,1,True,0.009791447000000002,2
2097152,coarse,0.005,0.005,2,True,0.009874033,2
2097152,coarse,0.005,0.005,3,True,0.009766150000000001,2
2097152,coarse,0.005,0.005,4,True,0.00980315,2
2097152,coarse,0.005,0.005,5,True,0.009837313,2
2097152,coarse,0.005,0.005,6,True,0.009807297,2
2097152,coarse,0.005,0.005,7,True,0.009854756,2
2097152,coarse,0.005,0.005,8,True,0.009797709000000002,2
2097152,coarse,0.005,0.005,9,True,0.009802368000000002,2
2097152,coarse,0.005,0.005,10,True,0.009821444000000002,2
