size,impl,interval,rep,elapsed,checks
131072,none,0.0,1,0.0053501220000000006,0
131072,none,0.0,2,0.0041595650000000005,0
131072,none,0.0,3,0.00356601,0
131072,none,0.0,4,0.003589384,0
131072,none,0.0,5,0.0035658800000000004,0
131072,none,0.0,6,0.0035357730000000003,0
131072,none,0.0,7,0.00354447,0
131072,none,0.0,8,0.003524722,0
131072,none,0.0,9,0.0035172780000000004,0
131072,none,0.0,10,0.003510024,0
131072,none,0.0,11,0.00349706,0
131072,none,0.0,12,0.003499294,0
131072,none,0.0,13,0.003532387,0
131072,none,0.0,14,0.0035044440000000002,0
131072,none,0.0,15,0.003490538,0
131072,none,0.0,16,0.0034973010000000004,0
131072,none,0.0,17,0.003503683,0
131072,none,0.0,18,0.0034945550000000003,0
131072,none,0.0,19,0.0034955880000000004,0
131072,none,0.0,20,0.0035475650000000004,0
131072,none,0.0,21,0.0035201330000000004,0
131072,none,0.0,22,0.0035123890000000003,0
131072,none,0.0,23,0.003487693,0
131072,none,0.0,24,0.003501909,0
131072,none,0.0,25,0.003496739,0
131072,none,0.0,26,0.003493013,0
131072,none,0.0,27,0.003502381,0
131072,none,0.0,28,0.003510435,0
131072,none,0.0,29,0.0035302130000000004,0
131072,none,0.0,30,0.00349146,0
131072,none,0.0,31,0.0034793270000000004,0
131072,none,0.0,32,0.0034823730000000004,0
131072,none,0.0,33,0.0034789870000000002,0
131072,none,0.0,34,0.003497902,0
131072,none,0.0,35,0.0034965990000000004,0
131072,none,0.0,36,0.003501198,0
131072,none,0.0,37,0.0035005170000000003,0
131072,none,0.0,38,0.003496149,0
131072,none,0.0,39,0.0035001560000000004,0
131072,none,0.0,40,0.003500637,0
131072,coarse,0.001,1,0.004392493,4
131072,coarse,0.001,2,0.004373667,4
131072,coarse,0.001,3,0.0043651110000000005,4
131072,coarse,0.001,4,0.004369029,4
131072,coarse,0.001,5,0.004365812,4
131072,coarse,0.001,6,0.004372666,4
131072,coarse,0.001,7,0.0043592610000000006,4
131072,coarse,0.001,8,0.004393024000000001,4
131072,coarse,0.001,9,0.0043803800000000006,4
131072,coarse,0.001,10,0.00435912,4
131072,coarse,0.001,11,0.0043866420000000005,4
131072,coarse,0.001,12,0.004383055,4
131072,coarse,0.001,13,0.004392292,4
131072,coarse,0.001,14,0.004393785,4
131072,coarse,0.001,15,0.004390088,4
131072,coarse,0.001,16,0.004384238,4
131072,coarse,0.001,17,0.004407561,4
131072,coarse,0.001,18,0.004386070000000001,4
131072,coarse,0.001,19,0.004390489,4
131072,coarse,0.001,20,0.004385029,4
131072,coarse,0.001,21,0.0043973120000000004,4
131072,coarse,0.001,22,0.004403463000000001,4
131072,coarse,0.001,23,0.004358979000000001,4
131072,coarse,0.001,24,0.004360312,4
131072,coarse,0.001,25,0.0043779150000000005,4
131072,coarse,0.001,26,0.004395979,4
131072,coarse,0.001,27,0.004372886,4
131072,coarse,0.001,28,0.004375941,4
131072,coarse,0.001,29,0.004398694,4
131072,coarse,0.001,30,0.00438575,4
131072,coarse,0.001,31,0.004381162,4
131072,coarse,0.001,32,0.004399376,4
131072,coarse,0.001,33,0.004388094,4
131072,coarse,0.001,34,0.004379879000000001,4
131072,coarse,0.001,35,0.004365041,4
131072,coarse,0.001,36,0.004406038,4
131072,coarse,0.001,37,0.0043743390000000005,4
131072,coarse,0.001,38,0.0043575770000000005,4
131072,coarse,0.001,39,0.004390168,4
131072,coarse,0.001,40,0.0043784570000000005,4
131072,coarse,0.0025,1,0.004362406,2
131072,coarse,0.0025,2,0.004384258,2
131072,coarse,0.0025,3,0.004375871,2
131072,coarse,0.0025,4,0.004391121,2
131072,coarse,0.0025,5,0.0043754810000000005,2
131072,coarse,0.0025,6,0.004407731000000001,2
131072,coarse,0.0025,7,0.0045582240000000005,2
131072,coarse,0.0025,8,0.004405217,3
131072,coarse,0.0025,9,0.004387874,3
131072,coarse,0.0025,10,0.004397371000000001,3
131072,coarse,0.0025,11,0.004388175,3
131072,coarse,0.0025,12,0.0043715640000000005,3
131072,coarse,0.0025,13,0.004396781000000001,3
131072,coarse,0.0025,14,0.004390449,3
131072,coarse,0.0025,15,0.0043931840000000005,3
131072,coarse,0.0025,16,0.004399205000000001,3
131072,coarse,0.0025,17,0.004392012000000001,3
131072,coarse,0.0025,18,0.0044047850000000005,3
131072,coarse,0.0025,19,0.004413642000000001,3
131072,coarse,0.0025,20,0.004605563,3
131072,coarse,0.0025,21,0.004433068,2
131072,coarse,0.0025,22,0.004423751,2
131072,coarse,0.0025,23,0.004389157,2
131072,coarse,0.0025,24,0.004450482,2
131072,coarse,0.0025,25,0.004452645,2
