size,rep,runtime
65536,0,0.0035236789990449324
65536,1,0.002992970999912359
65536,2,0.0028748100012307987
65536,3,0.002827210999384988
65536,4,0.0028405459997884464
65536,5,0.002768760001345072
65536,6,0.002787215998978354
65536,7,0.002842158999555977
65536,8,0.0027887480027857237
65536,9,0.0027807730002678
65536,10,0.002785502001643181
65536,11,0.002736570000706706
65536,12,0.0028142959999968298
65536,13,0.0027998090008622967
65536,14,0.0028072929999325424
65536,15,0.002785002001473913
65536,16,0.002770774000964593
65536,17,0.0027809740022348706
65536,18,0.002809167002851609
65536,19,0.002760023999144323
131072,0,0.006647196001722477
131072,1,0.006041096999979345
131072,2,0.005887469000299461
131072,3,0.005834059000335401
131072,4,0.0058248109999112785
131072,5,0.005790236002212623
131072,6,0.005868533000466414
131072,7,0.005811926999740535
131072,8,0.005806426001072396
131072,9,0.005874223999853712
131072,10,0.005797950001579011
131072,11,0.005803330001072027
131072,12,0.005787190002592979
131072,13,0.005798432001029141
131072,14,0.0058493270007602405
131072,15,0.005787490998045541
131072,16,0.005795606000901898
131072,17,0.005877158997463994
131072,18,0.005864094997377833
131072,19,0.005872481000551488
262144,0,0.010480646000360139
262144,1,0.009307112002716167
262144,2,0.009153893999609863
262144,3,0.009038006002811017
262144,4,0.009186465002130717
262144,5,0.009070176998648094
262144,6,0.009083791999728419
262144,7,0.00912124300157302
262144,8,0.009027505999256391
262144,9,0.0091432139997778
262144,10,0.00909281899657799
262144,11,0.009096205998503137
262144,12,0.009152981998340692
262144,13,0.009013621001940919
262144,14,0.009235577002982609
262144,15,0.009075064997887239
262144,16,0.009128746998612769
262144,17,0.00905609999972512
262144,18,0.009094692999497056
262144,19,0.009079663999727927
524288,0,0.020104130999243353
524288,1,0.0218065100016247
524288,2,0.021869838998100022
524288,3,0.021704778999264818
524288,4,0.02184756600036053
524288,5,0.021834151000803104
524288,6,0.021819232999405358
524288,7,0.02162431699980516
524288,8,0.021904512999753933
524288,9,0.02168524200169486
524288,10,0.021788425001432188
524288,11,0.021793084000819363
524288,12,0.021743040000728797
524288,13,0.02173824099736521
524288,14,0.02176232700003311
524288,15,0.021795809003378963
524288,16,0.021740796000813134
524288,17,0.02195647100234055
524288,18,0.02168757600156823
524288,19,0.021710177999921143
1048576,0,0.0492708070014487
1048576,1,0.04554264300168143
1048576,2,0.04534652499933145
1048576,3,0.04594817500037607
1048576,4,0.04532789000222692
1048576,5,0.045426766002492514
1048576,6,0.045460008001100505
1048576,7,0.04555303300003288
1048576,8,0.0452984249968722
1048576,9,0.04546458699769573
1048576,10,0.04531712999960291
1048576,11,0.04523607800001628
1048576,12,0.04536330699920654
1048576,13,0.04530768199765589
1048576,14,0.04510029300217866
1048576,15,0.04515220100074657
1048576,16,0.04535315800239914
1048576,17,0.045490405998862116
1048576,18,0.04528748400116456
1048576,19,0.045519420000346145
2097152,0,0.10000344799846062
2097152,1,0.10066923900012625
2097152,2,0.09981764899930567
2097152,3,0.10030049700071686
2097152,4,0.09963417500330252
2097152,5,0.09972082700187457
2097152,6,0.09961054000086733
2097152,7,0.09991894999984652
2097152,8,0.09987438600001042
2097152,9,0.09991310799887287
2097152,10,0.1014147089990729
2097152,11,0.10083806600232492
2097152,12,0.10023019400250632
2097152,13,0.10009050199732883
2097152,14,0.10072826000032364
