impl,size,rep,runtime
non_interruptible,65536,0,0.0022452980010712054
non_interruptible,65536,1,0.0018600729999889154
non_interruptible,65536,2,0.0016304929995385464
non_interruptible,65536,3,0.0016184699998120777
non_interruptible,65536,4,0.0015972000001056585
non_interruptible,65536,5,0.0015947649990266655
non_interruptible,65536,6,0.0016251919987553265
non_interruptible,65536,7,0.001594935998582514
non_interruptible,65536,8,0.001595846999407513
non_interruptible,65536,9,0.0015914900031930301
non_interruptible,65536,10,0.001613620999705745
non_interruptible,65536,11,0.00159871299911174
non_interruptible,65536,12,0.0015800670007592998
non_interruptible,65536,13,0.0015780339999764692
non_interruptible,65536,14,0.0015927810018183663
non_interruptible,65536,15,0.0015920199984975625
non_interruptible,65536,16,0.0016058159999374766
non_interruptible,65536,17,0.0015782450027472805
non_interruptible,65536,18,0.0015754390005895402
non_interruptible,65536,19,0.0015923110004223417
non_interruptible,131072,0,0.004771111998707056
non_interruptible,131072,1,0.0037867419996473473
non_interruptible,131072,2,0.0035373240025364794
non_interruptible,131072,3,0.003562711997801671
non_interruptible,131072,4,0.003516215001582168
non_interruptible,131072,5,0.0035202819999540225
non_interruptible,131072,6,0.0035377450003579725
non_interruptible,131072,7,0.0035578729984990787
non_interruptible,131072,8,0.0035479639991535805
non_interruptible,131072,9,0.003537655000400264
non_interruptible,131072,10,0.003530019999743672
non_interruptible,131072,11,0.003532123999320902
non_interruptible,131072,12,0.0035211639988119714
non_interruptible,131072,13,0.003523006998875644
non_interruptible,131072,14,0.003531592999934219
non_interruptible,131072,15,0.0035420940002950374
non_interruptible,131072,16,0.0035361519985599443
non_interruptible,131072,17,0.0035419429987086914
non_interruptible,131072,18,0.003535891002684366
non_interruptible,131072,19,0.003552411999407923
non_interruptible,262144,0,0.009320336997916456
non_interruptible,262144,1,0.0074079240002902225
non_interruptible,262144,2,0.006916600999829825
non_interruptible,262144,3,0.006962898001802387
non_interruptible,262144,4,0.006954471999051748
non_interruptible,262144,5,0.00694844199824729
non_interruptible,262144,6,0.006940406001376687
non_interruptible,262144,7,0.006962417999602621
non_interruptible,262144,8,0.0069742290033900645
non_interruptible,262144,9,0.006981422997341724
non_interruptible,262144,10,0.006995007999648806
non_interruptible,262144,11,0.006992735001404071
non_interruptible,262144,12,0.006987745000515133
non_interruptible,262144,13,0.006983716997638112
non_interruptible,262144,14,0.006953339998290176
non_interruptible,262144,15,0.0069263799996406306
non_interruptible,262144,16,0.0069510460016317666
non_interruptible,262144,17,0.006945856999664102
non_interruptible,262144,18,0.006987012999161379
non_interruptible,262144,19,0.006954902997676982
non_interruptible,524288,0,0.01944812900183024
non_interruptible,524288,1,0.01667106300010346
non_interruptible,524288,2,0.01544756500152289
non_interruptible,524288,3,0.015480556998227257
non_interruptible,524288,4,0.015542533998086583
non_interruptible,524288,5,0.0155924069986213
non_interruptible,524288,6,0.01558087499870453
non_interruptible,524288,7,0.015620651000062935
non_interruptible,524288,8,0.015610811999067664
non_interruptible,524288,9,0.015618847002770053
non_interruptible,524288,10,0.01560847699875012
non_interruptible,524288,11,0.01560535200042068
non_interruptible,524288,12,0.015627543998562032
non_interruptible,524288,13,0.015605060998495901
non_interruptible,524288,14,0.01562312500027474
non_interruptible,524288,15,0.015599590999045176
non_interruptible,524288,16,0.015533637000771705
non_interruptible,524288,17,0.015497278000111692
non_interruptible,524288,18,0.015543305002211127
non_interruptible,524288,19,0.015601945997332223
non_interruptible,1048576,0,0.043464089001645334
non_interruptible,1048576,1,0.04020668999874033
non_interruptible,1048576,2,0.03869881799982977
non_interruptible,1048576,3,0.038676596002915176
non_interruptible,1048576,4,0.041359154998644954
non_interruptible,1048576,5,0.040846132000297075
non_interruptible,1048576,6,0.038764602002629545
non_interruptible,1048576,7,0.03865544599830173
non_interruptible,1048576,8,0.039155084999947576
non_interruptible,1048576,9,0.03871635099858395
non_interruptible,1048576,10,0.03865071700056433
non_interruptible,1048576,11,0.03868968000097084
non_interruptible,1048576,12,0.03908155699900817
non_interruptible,1048576,13,0.03902293699866277
non_interruptible,1048576,14,0.038930943999730516
non_interruptible,1048576,15,0.03901089500141097
non_interruptible,1048576,16,0.038953306000621524
non_interruptible,1048576,17,0.038996195999061456
non_interruptible,1048576,18,0.038985627001238754
non_interruptible,1048576,19,0.03896870499738725
non_interruptible,2097152,0,0.13628200799939805
non_interruptible,2097152,1,0.13177756699951715
non_interruptible,2097152,2,0.13012056600200594
non_interruptible,2097152,3,0.12989938000100665
non_interruptible,2097152,4,0.13002856300226995
non_interruptible,2097152,5,0.13001759199687513
non_interruptible,2097152,6,0.13012507400344475
non_interruptible,2097152,7,0.13010518699957174
non_interruptible,2097152,8,0.12855597599991597
non_interruptible,2097152,9,0.12916799600134254
non_interruptible,2097152,10,0.12862849299926893
non_interruptible,2097152,11,0.12838751100207446
non_interruptible,2097152,12,0.12848401200244552
non_interruptible,2097152,13,0.12851270499959355
non_interruptible,2097152,14,0.12855385299917543
non_interruptible,2097152,15,0.12845286299852887
non_interruptible,2097152,16,0.1285402379980951
non_interruptible,2097152,17,0.1285352779996174
non_interruptible,2097152,18,0.128555936000339
non_interruptible,2097152,19,0.1284281859989278
non_interruptible,4194304,0,0.3289263819970074
non_interruptible,4194304,1,0.33157172099890886
non_interruptible,4194304,2,0.3278159069996036
non_interruptible,4194304,3,0.3324633160009398
non_interruptible,4194304,4,0.3249471380004252
non_interruptible,4194304,5,0.33356732899846975
non_interruptible,4194304,6,0.32738743200025056
non_interruptible,4194304,7,0.32738935599991237
non_interruptible,4194304,8,0.32521015299789724
non_interruptible,4194304,9,0.32836577000125544
non_interruptible,4194304,10,0.3283265060017584
non_interruptible,4194304,11,0.3281157899982645
non_interruptible,4194304,12,0.325411220001115
non_interruptible,4194304,13,0.32922814000266953
non_interruptible,4194304,14,0.32805084800202167
non_interruptible,4194304,15,0.3274690449979971
non_interruptible,4194304,16,0.32496556300247903
non_interruptible,4194304,17,0.33200224000029266
non_interruptible,4194304,18,0.3288268159994914
non_interruptible,4194304,19,0.33151877199998125
non_interruptible,8388608,0,1.1153741880007146
non_interruptible,8388608,1,1.1038988440013782
non_interruptible,8388608,2,1.107982453002478
non_interruptible,8388608,3,1.1074675660020148
non_interruptible,8388608,4,1.1083601329992234
non_interruptible,8388608,5,1.1068976969982032
non_interruptible,8388608,6,1.1130041760006861
non_interruptible,8388608,7,1.1247007460005989
non_interruptible,8388608,8,1.1230588420003187
non_interruptible,8388608,9,1.126759893999406
non_interruptible,8388608,10,1.1233287089999067
non_interruptible,8388608,11,1.1238735129991255
non_interruptible,8388608,12,1.1238654869994207
non_interruptible,8388608,13,1.126860783999291
non_interruptible,8388608,14,1.1232160180006758
non_interruptible,8388608,15,1.1249086569987412
non_interruptible,8388608,16,1.122941871999501
