size,rep,runtime
65536,0,0.0022113199993327726
65536,1,0.0018386510018899571
65536,2,0.0016023169991967734
65536,3,0.001621432998945238
65536,4,0.0015994519999367185
65536,5,0.0016009049977583345
65536,6,0.0016042900024331175
65536,7,0.00159725800040178
65536,8,0.0015811170014785603
65536,9,0.0015762980001454707
65536,10,0.0015801560002728365
65536,11,0.0015886309993220493
65536,12,0.001589973999216454
65536,13,0.0015939510012685787
65536,14,0.0015847039976506494
65536,15,0.0015832810022402555
65536,16,0.0015968269981385674
65536,17,0.0016006039986677933
65536,18,0.0016079170018201694
65536,19,0.0015986310027074069
131072,0,0.004712745001597796
131072,1,0.0037296800001058728
131072,2,0.0034705230027611833
131072,3,0.0034921139995276462
131072,4,0.0034984650010301266
131072,5,0.0034764640004141256
131072,6,0.0034702930024650414
131072,7,0.00347198600138654
131072,8,0.0034857020000345074
131072,9,0.003471756001090398
131072,10,0.0034902810002677143
131072,11,0.003492093997920165
131072,12,0.0034978550029336475
131072,13,0.003479681003227597
131072,14,0.0034720559997367673
131072,15,0.0034722059972409625
131072,16,0.0034840589978557546
131072,17,0.003474930999800563
131072,18,0.003471604999504052
131072,19,0.003491843002848327
262144,0,0.009462347999942722
262144,1,0.007523830001446186
262144,2,0.007049138999718707
262144,3,0.00702858099975856
262144,4,0.007087541001965292
262144,5,0.007043359000817873
262144,6,0.007066180998663185
262144,7,0.007033639998553554
262144,8,0.0070352129987441
262144,9,0.00704213599965442
262144,10,0.007041033997666091
262144,11,0.007041385000775335
262144,12,0.0070541189998039044
262144,13,0.007073926000884967
262144,14,0.007029352000245126
262144,15,0.007083624001097633
262144,16,0.007063527002173942
262144,17,0.0070297530000971165
262144,18,0.007040673997835256
262144,19,0.007034171998384409
524288,0,0.019663904000481125
524288,1,0.016755365999415517
524288,2,0.015542118999292143
524288,3,0.015570140996715054
524288,4,0.015504188002523733
524288,5,0.015543551002338063
524288,6,0.015518664000410354
524288,7,0.015585398999974132
524288,8,0.01555623600143008
524288,9,0.015539894000539789
524288,10,0.01562552499672165
524288,11,0.015518162999796914
524288,12,0.015554612000414636
524288,13,0.015518414998950902
524288,14,0.015545505000773119
524288,15,0.015547187998890877
524288,16,0.0155962200005888
524288,17,0.01564609399792971
524288,18,0.015599255999404704
524288,19,0.015620535999914864
1048576,0,0.044968856000195956
1048576,1,0.04165383399958955
1048576,2,0.039838757998950314
1048576,3,0.03980431300078635
1048576,4,0.03973353900073562
1048576,5,0.03974092399948859
1048576,6,0.03977067899904796
1048576,7,0.039827154996601166
