impl,size,delay,interval,rep,interrupted,latency,checks
simple,2097152,0.01,0.01,20,True,0.004886612,2
simple,2097152,0.01,0.01,21,True,0.004866805,2
simple,2097152,0.01,0.01,22,True,0.0048738980000000015,2
simple,2097152,0.01,0.01,23,True,0.004883276000000001,2
simple,2097152,0.01,0.01,24,True,0.004893996000000001,2
simple,2097152,0.01,0.01,25,True,0.004882494000000001,2
simple,2097152,0.01,0.01,26,True,0.004857147000000001,2
simple,2097152,0.01,0.01,27,True,0.004887534000000001,2
simple,2097152,0.01,0.01,28,True,0.004883346,2
simple,2097152,0.01,0.01,29,True,0.004877745000000001,2
simple,2097152,0.01,0.05,0,True,0.0048962100000000015,2
simple,2097152,0.01,0.05,1,True,0.004879669000000001,2
simple,2097152,0.01,0.05,2,True,0.004883857,2
simple,2097152,0.01,0.05,3,True,0.004875402000000001,2
simple,2097152,0.01,0.05,4,True,0.004897522000000001,2
simple,2097152,0.01,0.05,5,True,0.004913543000000001,2
simple,2097152,0.01,0.05,6,True,0.004863549,2
simple,2097152,0.01,0.05,7,True,0.0048824240000000015,2
simple,2097152,0.01,0.05,8,True,0.004889528000000001,2
simple,2097152,0.01,0.05,9,True,0.004876503000000001,2
simple,2097152,0.01,0.05,10,True,0.004867757,2
simple,2097152,0.01,0.05,11,True,0.0048963900000000005,2
simple,2097152,0.01,0.05,12,True,0.004896020000000001,2
simple,2097152,0.01,0.05,13,True,0.0048746100000000014,2
simple,2097152,0.01,0.05,14,True,0.004875952000000001,2
simple,2097152,0.01,0.05,15,True,0.004891100000000001,2
simple,2097152,0.01,0.05,16,True,0.004923532000000001,2
simple,2097152,0.01,0.05,17,True,0.004863229,2
simple,2097152,0.01,0.05,18,True,0.004866194000000001,2
simple,2097152,0.01,0.05,19,True,0.0048895580000000004,2
simple,2097152,0.01,0.05,20,True,0.004888316,2
simple,2097152,0.01,0.05,21,True,0.004871955000000001,2
simple,2097152,0.01,0.05,22,True,0.004875201000000001,2
simple,2097152,0.01,0.05,23,True,0.004907762000000001,2
simple,2097152,0.01,0.05,24,True,0.004892082000000001,2
simple,2097152,0.01,0.05,25,True,0.004867507,2
simple,2097152,0.01,0.05,26,True,0.0048873530000000005,2
simple,2097152,0.01,0.05,27,True,0.004883527,2
simple,2097152,0.01,0.05,28,True,0.004879509000000001,2
simple,2097152,0.01,0.05,29,True,0.004882875,2
simple,2097152,0.01,0.1,0,True,0.004861105000000001,2
simple,2097152,0.01,0.1,1,True,0.0049066100000000005,2
simple,2097152,0.01,0.1,2,True,0.004878177000000001,2
simple,2097152,0.01,0.1,3,True,0.004866284,2
simple,2097152,0.01,0.1,4,True,0.004897312000000001,2
simple,2097152,0.01,0.1,5,True,0.004907912,2
simple,2097152,0.01,0.1,6,True,0.004900819000000001,2
simple,2097152,0.01,0.1,7,True,0.004881273,2
simple,2097152,0.01,0.1,8,True,0.004871203000000001,2
simple,2097152,0.01,0.1,9,True,0.004907562000000001,2
simple,2097152,0.01,0.1,10,True,0.004935203000000001,2
simple,2097152,0.01,0.1,11,True,0.004861414000000001,2
simple,2097152,0.01,0.1,12,True,0.004870742000000001,2
simple,2097152,0.01,0.1,13,True,0.004899266000000001,2
simple,2097152,0.01,0.1,14,True,0.004895338000000001,2
simple,2097152,0.01,0.1,15,True,0.004885881,2
simple,2097152,0.01,0.1,16,True,0.004982852000000001,2
simple,2097152,0.01,0.1,17,True,0.00489616,2
simple,2097152,0.01,0.1,18,True,0.004896481000000001,2
simple,2097152,0.01,0.1,19,True,0.004903685000000001,2
simple,2097152,0.01,0.1,20,True,0.004884428000000001,2
simple,2097152,0.01,0.1,21,True,0.004886482000000001,2
simple,2097152,0.01,0.1,22,True,0.004859451000000001,2
simple,2097152,0.01,0.1,23,True,0.004873077,2
simple,2097152,0.01,0.1,24,True,0.004898956000000001,2
simple,2097152,0.01,0.1,25,True,0.004890108000000001,2
simple,2097152,0.01,0.1,26,True,0.004899156,2
simple,2097152,0.01,0.1,27,True,0.004880180000000001,2
simple,2097152,0.01,0.1,28,True,0.004890189000000001,2
simple,2097152,0.01,0.1,29,True,0.004873838,2
simple,2097152,0.02,0.001,0,True,1.1495000000000255e-05,35987
simple,2097152,0.02,0.001,1,True,1.132499999999953e-05,36341
simple,2097152,0.02,0.001,2,True,1.1976000000000347e-05,36441
simple,2097152,0.02,0.001,3,True,1.2246999999999952e-05,36712
simple,2097152,0.02,0.001,4,True,1.2086000000001429e-05,36315
simple,2097152,0.02,0.001,5,True,1.229700000000139e-05,35773
simple,2097152,0.02,0.001,6,True,1.2906999999999502e-05,36790
simple,2097152,0.02,0.001,7,True,1.210600000000131e-05,36651
simple,2097152,0.02,0.001,8,True,1.1835000000001705e-05,36513
simple,2097152,0.02,0.001,9,True,1.3097999999999582e-05,36892
simple,2097152,0.02,0.001,10,True,1.2758000000001601e-05,36807
simple,2097152,0.02,0.001,11,True,1.2826999999999977e-05,36691
simple,2097152,0.02,0.001,12,True,1.2326999999999477e-05,36657
simple,2097152,0.02,0.001,13,True,1.5573000000001364e-05,36781
simple,2097152,0.02,0.001,14,True,1.2998000000000176e-05,36866
simple,2097152,0.02,0.001,15,True,1.1745999999999979e-05,36822
simple,2097152,0.02,0.001,16,True,1.273800000000172e-05,36849
simple,2097152,0.02,0.001,17,True,1.2587000000001403e-05,36820
simple,2097152,0.02,0.001,18,True,1.2838000000001126e-05,36604
simple,2097152,0.02,0.001,19,True,1.1686000000000335e-05,36711
simple,2097152,0.02,0.001,20,True,1.3319000000001219e-05,36656
simple,2097152,0.02,0.001,21,True,1.219600000000251e-05,36893
simple,2097152,0.02,0.001,22,True,1.2096999999999108e-05,36745
simple,2097152,0.02,0.001,23,True,1.3809000000000043e-05,36959
simple,2097152,0.02,0.001,24,True,1.2296000000001917e-05,36829
simple,2097152,0.02,0.001,25,True,1.2046000000001666e-05,36651
